compound_stem,SMILES,compound_name,pubchem_cid,kegg_kid,classifier_target,similar_to
K98251413,OC(=O)CNC(=O)c1c(O)c2ccccc2n(Cc2ccccc2)c1=O,IOX2,54685215,NA,NA,NA
K93468883,C[C@H](Nc1ncnc2[nH]cnc12)c1cc2cccc(Cl)c2c(=O)n1-c1ccccc1,IPI-145,50905713,NA,NA,NA
K93618743,CC(C)Oc1ccc2c(c1)occ(-c1ccccc1)c2=O,ipriflavone,3747,D01338,NA,NA
K74195153,Nc1nc(N)nc(n1)-c1cc(Cl)ccc1Cl,Irsogladine,3752,D01658,NA,NA
K33583600,Oc1ccc(cc1)\C=C\C(=O)c1ccc(O)cc1O,isoliquiritigenin,638278,NA,NA,NA
A06629414,COc1cc(ccc1O)C1Oc2ccc(cc2OC1CO)C1Oc2cc(O)cc(O)c2C(=O)C1O,Isosilybin,3085830,NA,NA,NA
K95366153,CC(\C=C\C1=C(C)CCCC1(C)C)=C\C=C\C(C)=C/C(O)=O,isotretinoin,NA,NA,NA,NA
K33972682,COc1cc2C[C@H](CN(C)CCCN3CCc4cc(OC)c(OC)cc4CC3=O)c2cc1OC,Ivabradine,132999,D07165,NA,NA
K17774839,CN1CCN(CC1)C(=O)c1cc2cc(Cl)ccc2[nH]1,JNJ 7777120,4908365,NA,NA,NA
K83837640,Cn1cc(CNCC2CCN(CC2)c2ncc(cn2)C(=O)NO)c2ccccc12,JNJ-26481585,11538455,NA,NA,NA
K11636097,Nc1nc(Nc2ccc(cc2)S(N)(=O)=O)nn1C(=O)c1c(F)cccc1F,JNJ-7706621,5330790,NA,NA,NA
K48978988,Clc1cccc(NC(=O)CSc2ccc(Br)cc2)c1,JS-1740,985719,NA,NA,NA
K63233802,CCOc1ccc(NCCC(=O)c2ccc3OCOc3c2)cc1,JS-2269,855039,NA,NA,NA
K12807006,Oc1ccc(cc1)-c1oc2cc(O)cc(O)c2c(=O)c1O,kaempferol,5280863,NA,NA,NA
A94323479,COC(=O)CCSCc1ccc(cc1)-c1onc(C)c1NC(=O)OC(C)c1ccccc1Cl,Ki16198,9913405,NA,NA,NA
A25569250,CC(OC(=O)Nc1c(C)noc1-c1ccc(CSCCC(O)=O)cc1)c1ccccc1Cl,Ki16425,10367662,NA,NA,NA
K47150025,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)c(F)c3)c2cc1OC,Ki8751,11317348,NA,NA,NA
K65667145,C(Nc1ncnc2[nH]cnc12)c1ccco1,kinetin,3830,NA,NA,NA
K90993449,CCCNC(=O)Nc1ccc(Oc2ncnc3cc(OC)c(OC)cc23)cc1Cl,KRN 633,9549295,NA,NA,NA
K67566344,COc1ccc(cc1CO)-c1ccc2c(nc(nc2n1)N1C[C@H](C)O[C@H](C)C1)N1CCOCC1,Ku-0063794,16736978,NA,NA,NA
K25311561,O=c1cc(oc(c1)-c1cccc2Sc3ccccc3Sc12)N1CCOCC1,KU-55933,5278396,NA,NA,NA
K36016295,C[C@H]1CN(CC(=O)Nc2ccc3Sc4c(Cc3c2)cccc4-c2cc(=O)cc(o2)N2CCOCC2)C[C@@H](C)O1,KU-60019,15953870,NA,NA,NA
K21718444,O=C(N1CCNCC1)c1ccc(cc1)\C=C\c1n[nH]c2ccccc12,KW-2449,11427553,NA,NA,NA
K41213548,CCc1c(O)cc(O)c(C(=O)c2ccc(OCCN3CCOCC3)c(OC)c2)c1CC(=O)N(CCOC)CCOC,KW-2478,23116322,NA,NA,NA
K29968218,O=C(Cc1ccc(cn1)-c1ccc(OCCN2CCOCC2)cc1)NCc1ccccc1,KX2-391,23635314,NA,NA,NA
A45419686,CCCCCCCCCCCCCCCC(=O)OC[C@H](O)[C@H]1OC(=O)C(=O)C1O,l-ascorbyl 6-palmitate,0,NA,NA,NA
K33141550,COC(=O)[C@@H](N)CCCNC(=N)N[N+]([O-])=O,L-NAME,39836,NA,NA,NA
A99477231,C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O,L-Rhamnose,25310,NA,NA,NA
K30685142,N[C@@H](Cc1cc(I)c(Oc2cc(I)c(O)c(I)c2)c(I)c1)C(O)=O,L-thyroxine,5819,NA,NA,NA
A67516570,O=C(CS(=O)Cc1ccco1)NC\C=C/COc1cc(CN2CCCCC2)ccn1,lafutidine,NA,NA,NA,NA
K60918217,CCN(C(=O)c1c(O)c2c(Cl)cccc2n(C)c1=O)c1ccccc1,Laquinimod,54677946,D08938,NA,NA
K73107279,C1CN2C[C@@H](N=C2S1)c1ccccc1,levamisole,26879,D00750,NA,NA
K05906022,CC1(C)O[C@H]2CC(=O)OC[C@@]22[C@H]1CC(=O)[C@]1(C)[C@@H]2CC[C@@]2(C)[C@@H](OC(=O)[C@H]3O[C@@]123)c1ccoc1,Limonin,179651,NA,NA,NA
K20986251,C[C@H](CCC(O)=O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,LITHOCHOLIC ACID,9903,NA,NA,NA
K51768138,[O-][N+]N(CCCl)C(=O)NC1CCCCC1,lomustine (ceenu),0,NA,NA,NA
K05236810,Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccc(O)c(O)c1,luteolin,5280445,NA,NA,NA
K14109347,Cc1cnc(NC(=O)Nc2cc(Br)c(C)cc2OC[C@@H]2CNCCO2)cn1,LY2603618,11955855,NA,NA,NA
K12068470,O=C(Nc1ncc(SCCN2CCCC2)s1)[C@@]1(C[C@H]1C1CCCCC1)c1ccc(cc1)S(=O)(=O)C1CC1,LY2608204,46832368,NA,NA,NA
K25630527,Cc1cc(Nc2cc(CN3CCOCC3)c3nc(C)c(Cc4ccc(Cl)cc4F)n3n2)[nH]n1,LY2784544,46213929,NA,NA,NA
K51258098,NC1=N[C@]2(COC[C@H]2CS1)c1cc(NC(=O)c2ccc(F)cn2)ccc1F,LY2886721,49837968,NA,NA,NA
K50498985,CN(C1CCN(CC1)c1nnc(-c2ccnn2C)c2ccccc12)C(=O)c1ccc(F)cc1C(F)(F)F,LY2940680,49848070,NA,NA,NA
K45528773,CN(C)c1ccc(cc1)C(=O)NCCCCCCC(=O)NO,m344,3994,NA,NA,NA
K26168087,Oc1ccc(CC=C)cc1-c1cc(CC=C)ccc1O,Magnolol,72300,NA,NA,NA
K97884852,CC(C)OC(=O)C(C(=O)OC(C)C)=C1SC=CS1,malotilate,4006,D01770,NA,NA
K08623988,O=C1CCC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,Matrine,91466,NA,NA,NA
K28405228,CCOC(=O)c1c(C)n(C)c2ccc(O)cc12,Mecarbinate,616236,NA,NA,NA
A43624059,CN1C(=O)C23CC4=CC=CC(OC(C)=O)C4N2C(=O)C1(CO)SS3,MEGxm0_000173,21127802,NA,NA,NA
A24838374,C[C@@H]1OC(CC[C@@H]1O)O[C@]12C(=O)C[C@](C)(O)C[C@@]1(O)C=CC1=C2C(=O)c2ccc([C@H]3C[C@@H](O[C@H]4CC[C@H](O[C@H]5C[C@@H](O)[C@H](O)[C@@H](C)O5)[C@H](C)O4)[C@H](O)[C@@H](C)O3)c(O)c2C1=O,MEGxm0_000485,23815270,NA,NA,NA
A02623338,CC1(C)CC[C@@]2(CC[C@]3(C)C(=CCC4[C@@]5(C)C[C@@H](O)[C@H](OC6OC(C(O)C(O)C6O)C(O)=O)C(C)(C)C5CC[C@@]34C)[C@@H]2C1)C(=O)OC1OC(CO)C(O)C(O)C1O,MEGxp0_001396,23815414,NA,NA,NA
A07932845,CSc1ccc2Sc3ccccc3CC(N3CCN(C)CC3)c2c1,methiothepin,4106,NA,NA,NA
A31521121,COc1ccccc1OCC(O)COC(N)=O,methocarbamol,4107,D00402,NA,NA
K63430059,COc1c2occc2cc2ccc(=O)oc12,methoxsalen,4114,D00139,NA,NA
K03838505,COC(=O)c1cc(=O)n(-c2ccccc2)c(=Nc2ccccc2)s1,"Methyl (2Z)-4-oxo-3-phenyl-2-(phenylimino)-3,4-dihydro-2H-1,3-thiazine-6-carboxylate",630835,NA,NA,NA
K78578689,COC(=O)COc1ccc(cc1)-c1ccccc1,methyl (biphenyl-4-yloxy)acetate,2791909,NA,NA,NA
K88239043,COC(=O)COc1ccc2c(cc(=O)oc2c1)-c1ccc(OC)cc1,methyl {[4-(4-methoxyphenyl)-2-oxo-2H-chromen-7-yl]oxy}acetate,882255,NA,NA,NA
K87256554,COC(=O)Cc1c(C)c2ccc(OCC(=O)c3ccc(Cl)s3)cc2oc1=O,methyl {7-[2-(5-chlorothiophen-2-yl)-2-oxoethoxy]-4-methyl-2-oxo-2H-chromen-3-yl}acetate,1306740,NA,NA,NA
K31464696,COC(=O)COc1ccc(cc1)C1CCCCC1,Methyl 2-(4-cyclohexylphenoxy)acetate,802879,NA,NA,NA
K90104815,COC(=O)CSc1nc(-c2ccccc2)c2CCCCc2c1C#N,"methyl 2-[(4-cyano-1-phenyl-5,6,7,8-tetrahydro-3-isoquinolinyl)sulfanyl]acetate",5183901,NA,NA,NA
K77252118,COC(=O)CSc1nnc(o1)-c1ccc(OC)c(OC)c1,"methyl 2-[[5-(3,4-dimethoxyphenyl)-1,3,4-oxadiazol-2-yl]sulfanyl]acetate",865336,NA,NA,NA
A54966635,COC(=O)C(C)Oc1ccc(cc1)-c1nccc(n1)-c1cccs1,methyl 2-{4-[4-(2-thienyl)-2-pyrimidinyl]phenoxy}propanoate,2767750,NA,NA,NA
A56502996,CCOC(=O)C(Oc1ccc2oc(C)c(C(=O)OC)c2c1)c1ccccc1,methyl 5-(2-ethoxy-2-oxo-1-phenylethoxy)-2-methyl-1-benzofuran-3-carboxylate,2919911,NA,NA,NA
K89220772,COC(=O)c1cc(on1)-c1ccc(OC)c(OC)c1,"methyl 5-(3,4-dimethoxyphenyl)isoxazole-3-carboxylate",645390,NA,NA,NA
K60385459,COC(=O)c1cc(on1)-c1ccc(OC)cc1,METHYL 5-(4-METHOXYPHENYL)ISOXAZOLE-3-CARBOXYLATE,752781,NA,NA,NA
A54234250,C[N+]1(C)[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(O)c1ccccc1,Methylhomatropine,5282592,NA,NA,NA
K56277358,Cn1cnc(c1)-c1cc2nccc(Oc3ccc(NC(=S)NC(=O)Cc4ccccc4)cc3F)c2s1,MGCD-265,24901704,NA,NA,NA
K57853941,OC(=O)c1cc(ccc1O)\N=N\c1ccc(O)c(c1)C(O)=O,Mirtazanine,6816262,NA,NA,NA
M71049352,OC(=O)[C@H](CC(=O)N1C[C@H]2CCCC[C@H]2C1)Cc1ccccc1.OC(=O)[C@H](CC(=O)N1C[C@H]2CCCC[C@H]2C1)Cc1ccccc1,mitiglinide calcium,0,NA,NA,NA
K54256913,CN1CCN(CC1)c1ccc(Nc2ncc3c(n2)n(-c2cccc(n2)C(C)(C)O)n(CC=C)c3=O)cc1,MK-1775,24856436,NA,NA,NA
K03128512,CCN1C[C@H](C)n2c(c(O)c3c2c(nn(Cc2ccc(F)c(Cl)c2)c3=O)C(=O)NC)C1=O,MK-2048,54698642,NA,NA,NA
K68065987,NC1(CCC1)c1ccc(cc1)-c1nc2ccn3c(n[nH]c3=O)c2cc1-c1ccccc1,MK-2206,24964624,NA,NA,NA
K56405753,CN(C[C@@H]1COCCO1)S(=O)(=O)Nc1ccc2ccc3ncc(cc3c(=O)c2c1)-c1cnn(C)c1,MK-2461,44137946,NA,NA,NA
K53665955,OC(=O)[C@@]1(Cc2cccc(Nc3nccs3)n2)CC[C@@H](CC1)Oc1cccc(Cl)c1F,MK-5108,24748204,NA,NA,NA
K29656036,OC(=O)Cn1nnc(n1)-c1cc(no1)N1CCC(CC1)Oc1cc(F)ccc1Br,MK-8245,24988881,NA,NA,NA
K89306950,Cc1ccc(cc1)S(=O)(=O)n1c(N)nc2ccccc12,ML130,1088438,NA,NA,NA
A66419424,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B1OC(=O)CC(CC(O)=O)(O1)C(O)=O,MLN9708,49867936,NA,NA,NA
K62595114,Cc1cccc(Nc2nc(cs2)-c2ccccn2)n1,MLS-0037240.0001,972317,NA,NA,NA
K60828555,CSc1nc(nc(n1)-c1ccccc1)C(Cl)Cl,MLS-0216917.0001,843346,NA,NA,NA
K48442394,CCC(=O)Nc1nc2ccccc2n1Cc1ccc(Cl)cc1,MLS-0281326.0001,780945,NA,NA,NA
K97880291,CC(=O)Nc1nc2ccccc2n1Cc1ccccc1Cl,MLS-0303650.0001,872991,NA,NA,NA
K99266632,COc1ccc(-c2nnc(Nc3nc4c(F)cccc4s3)o2)c(OC)c1,MLS-0437606.0002,7109974,NA,NA,NA
K20925396,COc1ccc(OC(=O)c2cc3ccccc3o2)cc1,MLS000027377,659898,NA,NA,NA
K71495467,CCn1c(CNc2ccc(F)cc2)nnc1SCC(=O)OC1CCCCC1,MLS000031459,651617,NA,NA,NA
K17518786,N#Cc1nc(oc1NCCc1ccccc1)-c1cccs1,MLS000036620,661185,NA,NA,NA
K34795459,C1CN(CCN1c1ccccc1)c1nc(nc2ccccc12)-c1ccccn1,MLS000036745,661691,NA,NA,NA
A77467113,Fc1ccc(cc1)C(=O)C(CN1CCOCC1)c1ccccc1,MLS000038113,659031,NA,NA,NA
A39786526,CCOC(=O)c1cnc(nc1NC(C)c1ccccc1)-n1nc(C)cc1C,MLS000040644,663060,NA,NA,NA
K41980603,CCOC(=O)c1cnc(nc1NCCc1ccccc1)-n1nc(C)cc1C,MLS000040645,663159,NA,NA,NA
K67420122,C1CCCN(CC1)c1nc(nc2ccccc12)-c1ccccn1,MLS000042263,665597,NA,NA,NA
K31936792,CCOC(=O)N1CCN(CCC(=O)c2ccc(Cl)cc2)CC1,MLS000047941,2235089,NA,NA,NA
A67447452,CC1CCCN(CCC(=O)c2ccc(Br)cc2)C1,MLS000047942,2978553,NA,NA,NA
K36876499,Cc1cc(Nc2ccc(C)cc2)n(n1)-c1nc(C)cc(C)n1,MLS000048464,2408834,NA,NA,NA
K93179032,COC(=O)c1ccc(CSc2nnc(o2)-c2ccncc2)o1,MLS000049439,2200375,NA,NA,NA
A39292038,CCOc1cc2c3N(C(=O)C22c4ccc(O)cc4OC(N)=C2C#N)C(C)(C)C=C(C)c3c1,MLS000049881,2956740,NA,NA,NA
A13316921,CC1CC(C)CN(C1)C(=O)COC(=O)c1cc2ccccc2cc1O,MLS000055286,2999033,NA,NA,NA
A19617573,CCC1CCCCN1C(=O)COC(=O)c1cc2ccccc2cc1O,MLS000055311,2998033,NA,NA,NA
K71532675,Cc1nnc(NC(=O)c2ccc3ccccc3c2)o1,MLS000056450,2594659,NA,NA,NA
K70563965,CCSc1nnc(NC(=O)c2ccccn2)s1,MLS000056851,2121806,NA,NA,NA
K26411921,Clc1ccc(cc1)C(=O)Nc1nnc(o1)-c1ccccc1,MLS000057767,805087,NA,NA,NA
K80680444,CCN(CC)c1ccc2c(c1)oc(=O)c1c(Cl)cc(=O)oc21,MLS000059194,756377,NA,NA,NA
K81111909,COc1ccc2nc(C)c3cc(C)oc3c2c1,MLS000061757,760888,NA,NA,NA
K95088063,Cc1cc(Nc2ccccc2)n(n1)-c1nc(C)cc(C)n1,MLS000061860,867936,NA,NA,NA
K21407197,FC(F)(F)c1cc(NCCC(=O)c2ccco2)ccc1Cl,MLS000061894,875402,NA,NA,NA
A62492087,CCOC(=O)c1c(C)n(C)c2ccc(OC(C)C(=O)OC)cc12,MLS000061959,2892134,NA,NA,NA
K29435318,O=S1(=O)C=C(Sc2nc3ccccc3s2)c2ccccc12,MLS000062663,701067,NA,NA,NA
K54128747,Cn1nnc(NC(=O)COc2ccc(cc2)C2CCCCC2)n1,MLS000063627,936003,NA,NA,NA
K95273107,Cc1nn(-c2nc3ccccc3[nH]2)c(N)c1-c1ccccc1,MLS000063763,718748,NA,NA,NA
K02783587,CCc1ccc(CCC(=O)Nc2ccc(C)c(C)c2)o1,MLS000064736,938834,NA,NA,NA
K06117992,Brc1ccc(s1)C(=O)Nc1nc2CCCCc2s1,MLS000065752,1245777,NA,NA,NA
K37426855,CSc1nsc(SCC(=O)N2CCc3ccccc23)n1,MLS000065941,934505,NA,NA,NA
K65511002,Clc1ccc(-c2nnc(SCc3ccon3)o2)c(Cl)c1,MLS000066341,711992,NA,NA,NA
K69049342,Clc1cccc(NCc2nnc(SCC(=O)OC3CCCCC3)o2)c1,MLS000067761,1076604,NA,NA,NA
K61347332,O=C(CCN1CCc2ccccc2CC1)c1ccc2OCCOc2c1,MLS000069261,659144,NA,NA,NA
K82109576,CC[C@]1(O)C[C@@H]2CN(C1)CCc1c([nH]c3ccccc13)[C@@](C2)(C(=O)OC)c1cc2c(cc1OC)N(C=O)[C@@H]1[C@]22CCN3CC=C[C@](CC)([C@@H]23)[C@@H](OC(C)=O)[C@]1(O)C(=O)OC,MLS000069706,5388993,NA,NA,NA
K14743274,CC(C)c1nnc(NC(=O)c2c(O)c3cccc4CCCn(c34)c2=O)s1,MLS000070196,54680928,NA,NA,NA
K97572015,CN1CCN(CC1)c1nc(nc2c3ccccc3oc12)-c1ccccc1,MLS000078767,661358,NA,NA,NA
K06657256,CCCCCCc1cc2cc(C(=O)NC)c(=N)oc2cc1O,MLS000079478,658928,NA,NA,NA
A73605494,CCCCNC(=O)c1cc2NC(CC(n2n1)C(F)(F)F)c1ccccc1,MLS000079482,5389148,NA,NA,NA
K81521853,C(Oc1ccccc1)c1nn2c(nnc2s1)-c1[nH]nc2CCCc12,MLS000083026,665436,NA,NA,NA
K24938185,CCOC(=O)c1ccc(NC(=O)CCc2nc(no2)-c2ccc(C)cc2)cc1,MLS000083730,666868,NA,NA,NA
K74757861,COc1ccc(cc1OC)C(=O)Nc1nnc(o1)-c1ccccc1,MLS000085679,691744,NA,NA,NA
K82374358,CCOC(=O)CSc1nc(N)c(C#N)c(-c2ccc(OCC)cc2)c1C#N,MLS000087845,3241330,NA,NA,NA
K98039819,CCOC(=O)Nc1ccc(C(=O)Oc2ccccc2)c(O)c1,MLS000088482,717668,NA,NA,NA
A91198216,OC(COc1ccc2ccccc2c1Br)Cn1ccnc1,MLS000099488,2945320,NA,NA,NA
K06899715,COc1ccc(cc1)-c1noc(CCC(=O)Nc2ccc(C)c(C)c2)n1,MLS000099999,1250111,NA,NA,NA
K33882342,Clc1ccc(s1)-c1csc(NC(=O)CSCC(=O)N2CCCCC2)n1,MLS000101011,2158858,NA,NA,NA
K93752373,COc1ccc(cc1)-c1nnc(NC(=O)c2cc(Cl)ccc2Cl)o1,MLS000103312,5111734,NA,NA,NA
K23097006,O=C(Nc1nnc(o1)-c1cccs1)c1cccc(Oc2ccccc2)c1,MLS000103342,2104499,NA,NA,NA
K48507802,O=C(CCc1ccccc1)Nc1nnc(o1)-c1cccs1,MLS000103343,2104509,NA,NA,NA
K86592745,CCOC(=O)CSc1nnc(o1)-c1cccc(Br)c1,MLS000108686,854669,NA,NA,NA
K63867055,CCOC(=O)c1ccc(NC=C2C(=O)CC(C)(C)CC2=O)cc1,MLS000109052,748284,NA,NA,NA
A87928000,CC(C)=CC1C(C(=O)Nc2ccc(Br)cn2)C1(C)C,MLS000109722,2883391,NA,NA,NA
K84828431,Cc1cc(C)n(n1)-c1nc(NC(C)(C)C)nc(NC(C)(C)C)n1,MLS000109787,879044,NA,NA,NA
K49365296,Cc1cccc(c1)N1CCN(CC1)C1=NC(=O)C(S1)=C1CCCCC1,MLS000111254,1345954,NA,NA,NA
K63011561,COC(=O)c1c(C)oc2ccc(OC(=O)c3cccs3)cc12,MLS000113168,803459,NA,NA,NA
A56577879,CC1CC(C)(C)Nc2ccc(OC(=O)c3ccco3)cc12,MLS000113523,2927276,NA,NA,NA
K37648560,CCOC(=O)c1cnc(nc1NC1CCCC1)-n1nc(C)cc1C,MLS000333072,931812,NA,NA,NA
K17186316,Cc1nc(SCc2ccc(F)cc2)c2oc3ccccc3c2n1,MLS000333702,3458131,NA,NA,NA
K57965597,CCc1cccc2c(c[nH]c12)C(=O)COC(=O)c1ccc(s1)[N+]([O-])=O,MLS000334288,2499208,NA,NA,NA
K21388490,Cc1c(oc2ccccc12)C(=O)Nc1nc2ccccc2[nH]1,MLS000335562,2117785,NA,NA,NA
K40960290,Cc1cccc(Nc2nnc(SCC(=O)Nc3cccnc3Cl)s2)c1,MLS000388920,4851382,NA,NA,NA
K84764933,[O-][N+](=O)c1cc(ccc1Cl)\C=C\C(=O)c1cccnc1,MLS000390403,6213986,NA,NA,NA
K66974320,Brc1ccc(NS(=O)(=O)c2cccc(NC(=O)c3ccc4SCC(=O)Nc4c3)c2)cc1,MLS000392976,4375033,NA,NA,NA
K92309737,[O-][N+](=O)c1ccc(s1)C(=O)OCC(=O)c1c[nH]c2ccccc12,MLS000417203,2472581,NA,NA,NA
K33315632,Cc1cc(NC(=O)c2sccc2C)n(n1)-c1nc2ccccc2[nH]1,MLS000418068,4554103,NA,NA,NA
K73658625,CCOc1ccc2nc(NC(=O)c3ccccn3)sc2c1,MLS000516842,2089261,NA,NA,NA
A45225052,COc1ccc(cc1)N1C(=O)C(F)(F)C1c1ccccc1F,MLS000517449,4195865,NA,NA,NA
K33436786,Brc1ccc2cc(OC(=O)c3cccnc3)ccc2c1,MLS000518880,5207438,NA,NA,NA
K40624433,FC(F)(F)c1nc2c(n1-c1ccccc1)c1ccccc1oc2=O,MLS000519329,4179800,NA,NA,NA
K55763525,Cc1ccccc1-n1ncc2c(cc(cc12)[N+]([O-])=O)[N+]([O-])=O,MLS000519532,3932660,NA,NA,NA
K37264919,CCN(CC)CCCNc1nc2cc(OC)c(OC)cc2c2nc(nn12)-c1ccccc1,MLS000520480,6622924,NA,NA,NA
K64022601,CCOC(=O)COc1ccc2OC3(CCCCC3)CC(=O)c2c1,MLS000520940,6618951,NA,NA,NA
K60809631,Clc1cc(Cl)c2cccnc2c1OC(=O)c1ccco1,MLS000526478,686057,NA,NA,NA
K36159377,Cc1cccnc1Nc1nc(cs1)-c1ccccn1,MLS000528306,972880,NA,NA,NA
K49829829,Clc1ccc(C(=O)Nc2nnc(o2)-c2ccc3CCCCc3c2)c(Cl)c1,MLS000529840,4617025,NA,NA,NA
K05581636,O=C(Nc1nnc(o1)-c1ccc2CCCCc2c1)c1ccccc1,MLS000529919,4141139,NA,NA,NA
K92765455,Clc1ccc(cc1)-c1nnc(NC(=O)c2nc3ccccc3s2)o1,MLS000530071,4252281,NA,NA,NA
K57092284,Oc1cccc2ccc(\C=C\c3cccs3)nc12,MLS000531665,5738419,NA,NA,NA
K33766247,Cc1oc2CCCCc2c1C(=O)Nc1cccc2ccccc12,MLS000533644,596163,NA,NA,NA
K10191287,OCCCn1c(\C=C\c2ccc(o2)[N+]([O-])=O)nc2ccccc2c1=O,MLS000535020,5736472,NA,NA,NA
K49300344,OC(CC(=O)Nc1ccc(Cl)c(Cl)c1)(C(F)(F)F)C(F)(F)F,MLS000537020,2167979,NA,NA,NA
K76947815,O=C(CSc1nsc(SCC(=O)OCc2ccccc2)c1C#N)OCc1ccccc1,MLS000537032,1963301,NA,NA,NA
A72030200,CC(Nc1nc(nc2ccccc12)N1CCCCC1)c1ccccc1,MLS000537658,2956995,NA,NA,NA
K60042264,CCc1cc2cc(sc2s1)C(=O)Nc1ccc(C)cc1,MLS000549172,902244,NA,NA,NA
K86334630,O=C(NCCC1=CCCCC1)NC12CC3CC(CC(C3)C1)C2,MLS000550537,5055981,NA,NA,NA
K19584000,O=C(Oc1cccc(c1)-c1cnc2ccccc2n1)c1ccco1,MLS000552805,684082,NA,NA,NA
K87499524,[O-][n+]1onc2c1ccc1nnc(cc21)-c1ccccc1,MLS000554315,6401684,NA,NA,NA
K45626746,O=Cc1ccc2oc3nc4SCCCn4c(=O)c3c(=O)c2c1,MLS000557348,935894,NA,NA,NA
K29969234,C(CNc1nc(nc2c3ccccc3oc12)-c1ccccc1)Cn1ccnc1,MLS000558491,4025230,NA,NA,NA
K37759253,Cc1ccc(cc1)-c1csc(NC(=O)C[n+]2cc(-c3ccc(C)cc3)n3CCCc23)n1,MLS000559963,1954138,NA,NA,NA
K17855680,Brc1ccc(s1)C(=O)Nc1nc(cs1)-c1ccccn1,MLS000564382,2354167,NA,NA,NA
K17888817,Cc1nn(Cc2ccccc2Cl)c2sc(cc12)C(=O)NCc1ccc2OCOc2c1,MLS000566039,4289251,NA,NA,NA
K43109465,O=C(COc1cccc2ccccc12)Nc1nc2ccccc2[nH]1,MLS000566300,2583317,NA,NA,NA
K05866890,C(Sc1nnc(o1)-c1ccccc1)c1nnc(o1)-c1cccs1,MLS000566647,2462387,NA,NA,NA
K97971575,Cc1cccc(C=c2sc(=CC(=O)C(C)(C)C)[nH]c2=O)c1,MLS000567305,4794222,NA,NA,NA
K56711065,CN(C)C(=O)c1sc2nc(nc(O)c2c1C)-c1ccccn1,MLS000567692,2458771,NA,NA,NA
K93472399,Fc1c(F)c(F)c(-c2cc(=O)c3ccccc3o2)c(F)c1F,MLS000568955,2055076,NA,NA,NA
A16044920,CSc1nc2ccc(NC(=O)C3CN(Cc4ccccc4)C(=O)C3)cc2s1,MLS000569679,4880979,NA,NA,NA
A85014715,OC(COCc1ccc(Cl)cc1)CN1CCN(CCN2C(=O)c3cccc4cccc(C2=O)c34)CC1,MLS000571940,2770368,NA,NA,NA
K83270187,O=C(CSc1ccccn1)Nc1ccc2c(c1)oc1ccccc21,MLS000571956,592486,NA,NA,NA
K42830622,FC(F)(F)c1cccc(NC(=O)\C=C\c2cccc(c2)C(F)(F)F)c1,MLS000572338,1352451,NA,NA,NA
A59538340,OC(COc1ccc2ccccc2c1)CN1CCC(CN2C(=O)c3cccc4cccc(C2=O)c34)CC1,MLS000572681,2891887,NA,NA,NA
A62116979,CCOC(=O)C(Cc1ccccc1)C(=O)Nc1cccc2ccccc12,MLS000573080,2836856,NA,NA,NA
K92845899,[O-][N+](=O)c1cc(ccc1Sc1nc2ccccc2s1)S(=O)(=O)C(F)(F)F,MLS000573311,2277493,NA,NA,NA
K16290514,Oc1ccccc1C(=O)Nc1ccc(OCC(F)(F)C(F)F)c(c1)C(F)(F)F,MLS000575818,2294766,NA,NA,NA
K70951956,Cc1ccc(cc1[N+]([O-])=O)C(=O)Oc1ccc(Cl)c2cccnc12,MLS000576307,887191,NA,NA,NA
K77632365,CCN(CC)c1ccc(\C=C(\C#N)c2nc3ccccc3[nH]2)c(OC(C)C)c1,MLS000578650,5334489,NA,NA,NA
K29559628,CCc1ccc(\C=C\C(=O)C2C(=O)c3ccccc3C2=O)cc1,MLS000579131,867609,NA,NA,NA
A61020905,OC(CN1CCCCCC1)Cn1cc(\C=C\C(=O)c2cccs2)c2ccccc12,MLS000582593,11835308,NA,NA,NA
K28217606,CC(=O)OCCNc1cc(SCc2ccco2)c2nonc2c1[N+]([O-])=O,MLS000584022,12004991,NA,NA,NA
K26658116,CCOC(=O)c1cnc2ccc(OCC)cc2c1NCc1ccccc1,MLS000585217,1187196,NA,NA,NA
K85338421,COc1ccc(CN2C(=O)NC(=O)\C(=C\c3ccc[nH]3)C2=O)cc1,MLS000587052,5893292,NA,NA,NA
K48617976,CCOC(=O)c1ccc2ncc(C(=O)OCC)c(Nc3ccc(cc3)N3CCOCC3)c2c1,MLS000590451,1190175,NA,NA,NA
K54506017,Cc1cc(Nc2ccc(Cl)cc2)nc(NCc2ccccc2)n1,MLS000591025,697231,NA,NA,NA
K50986005,Cc1cc(Nc2cccc(Cl)c2)nc(NCc2ccccc2)n1,MLS000591844,697235,NA,NA,NA
K14408094,CCOC(=O)c1c(C)oc2ccc(OC(=O)c3cccs3)cc12,MLS000595276,719960,NA,NA,NA
